Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmRP,RUWE,epsi,sepsi,uvista_matchdistarcsec,uvista_Ymag,uvista_Jmag,uvista_Hmag,uvista_Ksmag,ukidss_matchdistarcsec,ukidss_Ymag,ukidss_Jmag,ukidss_Hmag,ukidss_Ksmag,FromPS1_Hmag,MUSEIOT_Jmag
3836043855670305664,150.01390505663,1.9607165758,-11.628,-1.389,17.8342,1.53153,0.93,0.0,0.0,0.19916954135738324,16.393,16.052,15.448,15.279,0.14296627343737714,16.45199966430664,16.117000579833984,15.40999984741211,15.26099967956543,15.406508,15.935922
3836043855670305536,150.01235372314,1.96171954155,0.319,6.871,17.4152,2.26247,0.934,0.0,0.0,0.14583111603143073,15.38,14.977,14.459,14.212,0.05264448592676615,15.446000099182129,15.006999969482422,14.425999641418457,14.166999816894531,14.354763,14.817229
3836043924389782656,150.05064069471,1.96410669577,-0.049,-11.883,17.3376,1.34882,1.457,0.627,7.2328463,0.1498553441884042,15.899,15.587,15.065,14.91,0.20617964010244008,15.958999633789062,15.569999694824219,15.02400016784668,14.904000282287598,15.005438,15.63225
3836044027468999040,150.05112426334,1.98942436802,,,21.2744,1.63036,,16.803,15.487396,0.0657229894403602,16.249,15.735,15.072,14.467,0.16620937882765785,17.445999145507812,16.87299919128418,16.149999618530273,15.534000396728516,15.587856,19.274769
3836044096188635520,150.01623670457,1.98371857757,,,20.8068,2.33763,,4.485,1.9314907,0.19170025985992917,18.49,18.007,17.423,17.046,0.10552466344775288,18.57200050354004,17.999000549316406,17.354999542236328,16.93000030517578,17.374916,18.143429
3836044134843004544,150.00035150732,1.97857727375,,,20.993,1.16802,,20.803,21.416405,0.14493690488317107,16.798,16.392,15.76,15.343,0.08588403330218533,17.55699920654297,17.461000442504883,16.388999938964844,15.946000099182129,16.1594,19.485657
3836044169202480640,149.9994458402,1.98924105976,-15.693,-18.343,14.496,0.854227,1.27,0.124,4.3377166,0.2409150343622419,13.589,13.517,13.072,12.977,0.2690536877364409,13.62399959564209,13.383999824523926,13.031999588012695,12.949999809265137,13.071245,13.34908
3836044199267690496,150.02338830699,1.98303373937,-62.519,-9.456,19.9772,0.080769,0.909,0.0,0.0,0.49796845968470016,19.902,19.929,19.847,19.861,,,,,,19.470192,19.809492
3836044203561860480,150.03103798612,1.99279110533,,,20.5175,,,3.104,1.65061,,,,,,,,,,,,
3836044199267691776,150.03114721926,1.99301946778,-14.174,-1.965,18.2694,2.03275,1.049,0.432,0.9977195,0.15397943664208472,16.219,15.822,15.213,14.987,0.09534601252467205,16.350000381469727,16.104999542236328,15.222999572753906,14.994999885559082,15.269282,15.878895
3836044233627456512,150.03996191124,1.99162253321,,,20.8047,0.355047,,0.0,0.0,0.11797551866561025,20.097,19.875,19.523,19.46,0.21561484459876384,19.934999465942383,19.476999282836914,19.15399932861328,,19.463804,20.274965
3836044233627431424,150.04087950623,2.00027349678,-10.159,7.967,16.9501,1.28322,0.878,0.0,0.0,0.1724697581307892,15.555,15.267,14.764,14.629,0.13427206620183843,15.715999603271484,15.381999969482422,14.82800006866455,14.654999732971191,14.782687,15.315776
3836044233627356288,150.04142521737,2.00309532697,-7.845,1.862,12.3242,0.604387,1.115,0.096,9.45263,0.15080341018108434,11.965,12.186,11.681,11.563,0.14837920429880536,11.689000129699707,11.524999618530273,11.347999572753906,11.270000457763672,11.364059,11.479454
3836044233627608704,150.04013061477,2.00351908635,-7.535,1.921,18.3709,1.97824,0.871,0.0,0.0,0.17770109970467085,15.899,15.576,15.085,14.842,0.1575094579725863,16.29800033569336,15.930999755859375,15.17300033569336,14.970000267028809,11.245902,16.031296
3836044306641289088,150.03621713603,2.00293262863,,,20.8464,2.33264,,0.0,0.0,0.15807781051088057,19.088,18.736,18.139,17.935,0.08383740807656054,19.14699935913086,18.71299934387207,18.017000198364258,18.075000762939453,17.847252,18.18733
3836044306641433600,150.02875739143,2.00594883304,-17.805,-35.972,20.0281,2.0979,1.009,0.591,0.1712278,0.31436012340459635,18.091,17.688,17.174,16.92,0.30662062508154847,18.291000366210938,17.64900016784668,17.106000900268555,16.8700008392334,17.001173,17.577599
3836044714663766144,150.08910230293,1.98477755647,-7.38,-25.77,19.3651,3.16758,1.02,0.0,0.0,0.28723467069872993,16.731,16.21,15.711,15.396,0.36516661852533233,16.79400062561035,16.18199920654297,15.66100025177002,15.331000328063965,15.644249,16.060642
3836044714663766912,150.09812637809,1.99046823289,-41.947,-22.927,17.7457,2.50117,0.973,0.0,0.0,0.4377263865526438,15.45,15.006,14.478,14.21,,,,,,14.464896,14.944232
3836044718958326016,150.09254336739,1.99002031857,-8.168,8.81,13.3053,0.697327,0.979,0.0,0.0,0.15585763791541493,12.615,12.68,12.21,12.127,0.1972799577370792,12.572999954223633,12.366000175476074,12.114999771118164,12.072999954223633,12.167728,12.346571
3836045474872537728,150.08398953536,1.98964220765,3.464,-10.032,16.8221,1.15198,1.502,0.493,7.4394283,0.18989950587328905,15.606,15.329,14.876,14.738,0.2219475097112219,15.708999633789062,15.317000389099121,14.829999923706055,14.73799991607666,14.808619,15.3326645
