index_x,MatchRA,MatchDec,SourceRA,SourceDec,D,DSigma,AbsCorr,XImage,YImage,ImageName,Instrument,Mode,Detector,Aperture,ExposureTime,StartTime,StopTime,StartMJD,StopMJD,WaveLength,Filter,TargetName,FluxAper2,MagAper2,MagAuto,PropID,CI,KronRadius,Flags,HTMID,X,Y,Z,CatID,MatchID,MemID,SourceID,ImageID,Det,neighbour_x,level_0,index_y,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_sigma5d_max,neighbour_y,d2dself
17626,215.106087027314,53.0787070214687,215.1060800606,53.0787098564771,18.1975330774092,18.1248406971995,Y,1018.50299072266,1954.31103515625,hst_12063_er_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,4/4/2013 12:18:18 PM,4/4/2013 12:47:46 PM,56386.5127168517,56386.5331790391,15369.176,F160W,EGS-VER,658.617980957031,18.8997001647949,18.2341003417969,12063,1.84552242506796,0.454999983310699,1,15154729506528,-0.491440049484742,-0.345467856202749,0.79946146755595,364436830,108006560,9,6000191973388,1018971,Y,1.0,1324,141,1608038641841117696,215.106094815462,53.0787094320941,,,,21.144,20.4145,18.9356,19.422,259.549,,5.97346,0.0,99.0
17627,215.106087027314,53.0787070214687,215.106094248684,53.0787040089919,19.0130729959636,18.1248406971995,Y,1918.09704589844,892.658020019531,hst_12063_f9_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1805.87,5/25/2013 1:32:42 PM,5/25/2013 2:03:50 PM,56437.5643847501,56437.586004396,15369.176,F160W,EGS-VF9,655.706970214844,18.9046001434326,18.2523994445801,12063,1.85358204058747,0.454999983310699,1,15154729506528,-0.491440049484742,-0.345467856202749,0.79946146755595,400022183,108006560,11,6000331335762,1018960,Y,1.0,1324,141,1608038641841117696,215.106094815462,53.0787094320941,,,,21.144,20.4145,18.9356,19.422,259.549,,5.97346,0.0,99.0
17642,215.082324541651,53.0536893019662,215.082320569699,53.0536892702983,8.59542029280355,15.2953961228337,Y,1577.78503417969,903.922973632813,hst_12063_fc_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1805.87,5/25/2013 6:19:39 PM,5/25/2013 6:50:47 PM,56437.7636554674,56437.7852751133,15369.176,F160W,EGS-VFC,371.993988037109,19.5200004577637,19.4421005249023,12063,1.04552240514044,0.454999983310699,0,15154729605008,-0.491868897545594,-0.345464610504215,0.799199093169998,426419358,52102820,7,6000346141278,1018995,Y,1.0,1322,139,1608038504402150144,215.082328384952,53.0536846052608,0.223212376433058,-5.29593101803731,-7.13697896141295,20.3502,21.1354,19.5717,1.15476,0.776539,1.00908,0.807421,0.0,99.0
17643,215.082324541651,53.0536893019662,215.082323406284,53.0536899807086,3.46499355544721,15.2953961228337,Y,1589.45703125,953.484985351563,hst_12063_er_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,4/4/2013 12:18:18 PM,4/4/2013 12:47:46 PM,56386.5127168517,56386.5331790391,15369.176,F160W,EGS-VER,371.069000244141,19.5226993560791,19.4449996948242,12063,1.16537311183872,0.454999983310699,0,15154729605008,-0.491868897545594,-0.345464610504215,0.799199093169998,357593912,52102820,2,6000191973473,1018971,Y,1.0,1322,139,1608038504402150144,215.082328384952,53.0536846052608,0.223212376433058,-5.29593101803731,-7.13697896141295,20.3502,21.1354,19.5717,1.15476,0.776539,1.00908,0.807421,0.0,99.0
17650,215.078348835721,53.0461930170118,215.078348099383,53.046191907897,4.29908169819753,9.82063379615662,Y,769.659973144531,1612.22399902344,hst_12063_ff_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,5/28/2011 2:04:53 PM,5/28/2011 2:32:41 PM,55709.5867295926,55709.6060343934,15369.176,F160W,EGS-VFF,273.828002929688,19.8526000976563,19.7914009094238,12063,0.990298523831723,0.454999983310699,0,15154729642593,-0.491978434633092,-0.345490568346093,0.799120445898204,362487051,92091584,8,6000205354454,1014423,Y,2.0,1312,129,1608038126445023488,215.078356874983,53.0461906106229,-0.245796400572221,-1.33135476005982,-2.82109906541461,19.5056,19.7409,19.0643,0.0,0.0,0.992872,0.330311,0.0,99.0
17651,215.078348835721,53.0461930170118,215.078348892086,53.0461925981118,1.51296555196396,9.82063379615662,Y,776.414001464844,1664.00500488281,hst_12063_ay_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,4/8/2011 3:39:45 PM,4/8/2011 4:09:13 PM,55659.6526080207,55659.673070597,15369.176,F160W,EGS-VEY,250.88200378418,19.9477005004883,19.8768997192383,12063,1.084328320489,0.454999983310699,0,15154729642593,-0.491978434633092,-0.345490568346093,0.799120445898204,362487052,92091584,2,6000175179493,1013423,Y,2.0,1312,129,1608038126445023488,215.078356874983,53.0461906106229,-0.245796400572221,-1.33135476005982,-2.82109906541461,19.5056,19.7409,19.0643,0.0,0.0,0.992872,0.330311,0.0,99.0
17652,215.078348835721,53.0461930170118,215.078341047654,53.0461903193503,19.4527052513591,9.82063379615662,Y,1673.48205566406,603.965026855469,hst_12063_fc_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1805.87,5/25/2013 6:19:39 PM,5/25/2013 6:50:47 PM,56437.7636554674,56437.7852751133,15369.176,F160W,EGS-VFC,277.204986572266,19.8393001556396,19.7784004211426,12063,0.977910454593488,0.454999983310699,0,15154729642593,-0.491978434633092,-0.345490568346093,0.799120445898204,432998122,92091584,19,6000346141107,1018995,Y,2.0,1312,129,1608038126445023488,215.078356874983,53.0461906106229,-0.245796400572221,-1.33135476005982,-2.82109906541461,19.5056,19.7409,19.0643,0.0,0.0,0.992872,0.330311,0.0,99.0
17664,215.015445382084,53.0278016142767,215.015437222301,53.0278002570867,18.33021978608,22.9076929313174,Y,1372.70397949219,1894.79895019531,hst_12063_fi_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1805.87,5/25/2013 7:55:34 PM,5/25/2013 8:26:42 PM,56437.8302643751,56437.851884021,15369.176,F160W,EGS-VFI,146.789993286133,20.5296001434326,20.4859008789063,12063,1.00447757920222,0.454999983310699,0,15154730073696,-0.49256749834262,-0.345097397717548,0.798927434547224,375155607,65035619,7,6000246027492,1018962,Y,0.0,1315,132,1608038229524228224,215.015446123526,53.0278010822633,-0.0352363343458328,-7.46806003153625,-2.02566038739956,20.407,20.6684,19.8775,0.0,0.0,1.04708,0.888123,0.0,99.0
17667,215.059292568384,53.0354245049816,215.05929670159,53.0354227911575,10.8683802900449,24.5180960152509,Y,1234.51293945313,1233.09802246094,hst_12063_ay_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,4/8/2011 3:39:45 PM,4/8/2011 4:09:13 PM,55659.6526080207,55659.673070597,15369.176,F160W,EGS-VEY,5114.16015625,16.6744003295898,16.5729999542236,12063,0.97537316493134,0.454999983310699,0,15154730112052,-0.49221624747226,-0.34541318733139,0.799007444111254,360266159,73965864,8,6000175179281,1013423,Y,1.0,1311,128,1608038092085279872,215.059277030079,53.0354290225191,1.1848216838508,-14.3899733746858,5.82495729718572,18.3347,19.6082,17.1795,0.641177,3.84129,1.12875,0.17575,0.0,99.0
17668,215.059292568384,53.0354245049816,215.059294273745,53.0354236489371,4.8089316290786,24.5180960152509,Y,1227.82800292969,1181.416015625,hst_12063_ff_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,5/28/2011 2:04:53 PM,5/28/2011 2:32:41 PM,55709.5867295926,55709.6060343934,15369.176,F160W,EGS-VFF,4713.31982421875,16.7630004882813,16.6501998901367,12063,1.0549253492213,0.454999983310699,0,15154730112052,-0.49221624747226,-0.34541318733139,0.799007444111254,360266161,73965864,2,6000205354238,1014423,Y,1.0,1311,128,1608038092085279872,215.059277030079,53.0354290225191,1.1848216838508,-14.3899733746858,5.82495729718572,18.3347,19.6082,17.1795,0.641177,3.84129,1.12875,0.17575,0.0,99.0
17672,215.05844766932,53.0472187335899,215.058446911945,53.0472197119569,3.88483346162133,21.656298909704,Y,1254.998046875,1704.97595214844,hst_12063_ay_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,4/8/2011 3:39:45 PM,4/8/2011 4:09:13 PM,55659.6526080207,55659.673070597,15369.176,F160W,EGS-VEY,498.201995849609,19.2028007507324,19.1212997436523,12063,0.939850753812647,0.454999983310699,0,15154730133339,-0.4920866974919,-0.345311445719642,0.799131208010263,353801429,21091739,6,6000175179474,1013423,Y,1.0,1313,130,1608038160806285440,215.058455406555,53.0472055542806,,,,21.0122,22.0354,20.1109,3.49841,1.26278,,7.03957,0.0,99.0
17673,215.05844766932,53.0472187335899,215.058446224806,53.0472186311961,3.14782305622237,21.656298909704,Y,1248.23999023438,1653.21398925781,hst_12063_ff_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,5/28/2011 2:04:53 PM,5/28/2011 2:32:41 PM,55709.5867295926,55709.6060343934,15369.176,F160W,EGS-VFF,443.27099609375,19.3297004699707,19.2374000549316,12063,1.12880592915549,0.454999983310699,0,15154730133339,-0.4920866974919,-0.345311445719642,0.799131208010263,353801430,21091739,2,6000205354442,1014423,Y,1.0,1313,130,1608038160806285440,215.058455406555,53.0472055542806,,,,21.0122,22.0354,20.1109,3.49841,1.26278,,7.03957,0.0,99.0
17693,215.040962990135,52.9638313825659,215.040961551923,52.9638335713695,8.474366058176,24.9304263247489,Y,1292.24597167969,815.046997070313,hst_12063_fm_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,5/27/2011 1:57:23 PM,5/27/2011 2:26:51 PM,55708.5815214445,55708.6019836734,15369.176,F160W,EGS-VFM,240.854995727539,19.9918994903564,19.9162998199463,12063,1.14850748830767,0.454999983310699,0,15154750162144,-0.49314376159813,-0.345828670921694,0.798255448321698,452413752,101853274,11,6000444454607,1014418,Y,1.0,1258,75,1608033487880297472,215.040959378179,52.9638448312727,-0.169764582620502,-6.87809819867061,6.56084633552174,20.4319,20.9688,19.7131,0.0,0.0,1.00825,0.899091,0.0,99.0
17694,215.040962990135,52.9638313825659,215.040961218014,52.9638321152802,4.66081817462732,24.9304263247489,Y,1295.45495605469,867.304016113281,hst_12063_f6_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,4/7/2011 7:13:38 PM,4/7/2011 7:41:26 PM,55658.8011379465,55658.8204431827,15369.176,F160W,EGS-VF6,282.532012939453,19.8187007904053,19.7605991363525,12063,1.01059701905322,0.454999983310699,0,15154750162144,-0.49314376159813,-0.345828670921694,0.798255448321698,416807500,101853274,5,6000382874837,1013765,Y,1.0,1258,75,1608033487880297472,215.040959378179,52.9638448312727,-0.169764582620502,-6.87809819867061,6.56084633552174,20.4319,20.9688,19.7131,0.0,0.0,1.00825,0.899091,0.0,99.0
17755,215.09749854501,52.9650470299165,215.097496910327,52.9650485514758,6.5243746010358,10.6686760400518,Y,1386.28796386719,1303.42797851563,hst_12063_fn_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,5/25/2011 4:29:58 AM,5/25/2011 4:57:46 AM,55706.1874815784,55706.2067863797,15369.176,F160W,EGS-VFN,85.1849975585938,21.1203994750977,21.0928993225098,12063,1.15805971088694,0.454999983310699,0,15154750314029,-0.492788424279091,-0.346305364885778,0.798268227572032,452151760,100264211,12,6000426420605,1017931,Y,1.0,1263,80,1608034724830880256,215.097501699953,52.9650456807788,,,,20.9229,20.5673,20.3752,3.31078,1.55203,,3.22832,0.0,99.0
17756,215.09749854501,52.9650470299165,215.09749791803,52.9650479980699,3.74110196779451,10.6686760400518,Y,1391.30102539063,1356.56298828125,hst_12063_f5_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,4/7/2011 11:06:09 AM,4/7/2011 11:33:57 AM,55658.4626080208,55658.4819127871,15369.176,F160W,EGS-VF5,96.0716018676758,20.9897994995117,20.9610004425049,12063,0.978358201126554,0.454999983310699,0,15154750314029,-0.492788424279091,-0.346305364885778,0.798268227572032,380949095,100264211,8,6000243098984,1013260,Y,1.0,1263,80,1608034724830880256,215.097501699953,52.9650456807788,,,,20.9229,20.5673,20.3752,3.31078,1.55203,,3.22832,0.0,99.0
17767,215.111018234177,52.9547873575644,215.111020588618,52.9547895967724,9.54235720800403,14.6385337140165,Y,1065.42700195313,946.260986328125,hst_12063_f5_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,4/7/2011 11:06:09 AM,4/7/2011 11:33:57 AM,55658.4626080208,55658.4819127871,15369.176,F160W,EGS-VF5,676.213989257813,18.8710994720459,18.7852993011475,12063,0.988358170238893,0.454999983310699,0,15154750325826,-0.492823619485189,-0.346503844428795,0.798160363508521,371574190,43251709,2,6000243098859,1013260,Y,1.0,1262,79,1608034656111396352,215.111012135608,52.954784400066,0.173223059806996,-5.97686464228085,-7.80243954843638,19.7906,20.5858,19.0648,0.0,0.0,1.01728,0.397465,0.0,99.0
17768,215.111018234177,52.9547873575644,215.111019073407,52.9547902475599,10.5619944632638,14.6385337140165,Y,1060.42895507813,893.127014160156,hst_12063_fn_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,5/25/2011 4:29:58 AM,5/25/2011 4:57:46 AM,55706.1874815784,55706.2067863797,15369.176,F160W,EGS-VFN,679.398986816406,18.8659992218018,18.7847003936768,12063,0.962835817194697,0.454999983310699,0,15154750325826,-0.492823619485189,-0.346503844428795,0.798160363508521,442768916,43251709,8,6000426420493,1017931,Y,1.0,1262,79,1608034656111396352,215.111012135608,52.954784400066,0.173223059806996,-5.97686464228085,-7.80243954843638,19.7906,20.5858,19.0648,0.0,0.0,1.01728,0.397465,0.0,99.0
17819,215.067995012673,52.9524014192881,215.067995698874,52.9523970113246,15.9383100313209,16.2888078966104,Y,643.935974121094,410.035003662109,hst_12063_f6_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,4/7/2011 7:13:38 PM,4/7/2011 7:41:26 PM,55658.8011379465,55658.8204431827,15369.176,F160W,EGS-VF6,1285.08996582031,18.173999786377,18.0713996887207,12063,0.94701496522818,0.454999983310699,0,15154750400343,-0.493110872568911,-0.346152783236001,0.798135275512608,409826800,59435463,12,6000382874633,1013765,Y,2.0,1257,74,1608033423455365760,215.068013010489,52.9524052541811,1.6622140121983,5.91521441763867,2.85791523930911,20.2407,21.2566,18.9298,2.39133,3.61055,1.07402,0.874082,0.0,99.0
17820,215.067995012673,52.9524014192881,215.067993926222,52.9523986025493,10.4104569638517,16.2888078966104,Y,640.762023925781,357.813995361328,hst_12063_fm_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1705.87,5/27/2011 1:57:23 PM,5/27/2011 2:26:51 PM,55708.5815214445,55708.6019836734,15369.176,F160W,EGS-VFM,1043.09997558594,18.4004993438721,18.2686004638672,12063,1.23208956931954,0.454999983310699,0,15154750400343,-0.493110872568911,-0.346152783236001,0.798135275512608,445435999,59435463,10,6000444454391,1014418,Y,2.0,1257,74,1608033423455365760,215.068013010489,52.9524052541811,1.6622140121983,5.91521441763867,2.85791523930911,20.2407,21.2566,18.9298,2.39133,3.61055,1.07402,0.874082,0.0,99.0
17821,215.067995012673,52.9524014192881,215.067985394815,52.952401996457,20.96360531259,16.2888078966104,Y,1208.88598632813,1845.07897949219,hst_12063_fq_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,5/24/2011 10:56:09 AM,5/24/2011 11:23:57 AM,55705.455664176,55705.4749689884,15369.176,F160W,EGS-VFQ,1168.15002441406,18.2775993347168,18.1697006225586,12063,1.01223881564923,0.454999983310699,0,15154750400343,-0.493110872568911,-0.346152783236001,0.798135275512608,445436001,59435463,15,6000449501788,1013895,Y,2.0,1257,74,1608033423455365760,215.068013010489,52.9524052541811,1.6622140121983,5.91521441763867,2.85791523930911,20.2407,21.2566,18.9298,2.39133,3.61055,1.07402,0.874082,0.0,99.0
17840,215.137439986165,52.9774181572172,215.13743746248,52.9774230629601,18.488534427822,40.4248548424724,Y,1342.14404296875,789.693969726563,hst_12063_fk_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1805.87,5/26/2013 4:03:22 AM,5/26/2013 5:33:00 AM,56438.1690144166,56438.2312588659,15369.176,F160W,EGS-VFK,1459.41003417969,18.0359001159668,17.9361991882324,12063,1.13104475078298,0.454999983310699,0,15154750753262,-0.492405929098439,-0.346549600399189,0.79839825617275,360550141,76274460,11,6000167526412,1020484,Y,1.0,1293,110,1608034797845855744,215.137437725649,52.977434183348,0.899907176812177,-5.03153493599354,11.4088062008894,19.2947,20.4215,18.2603,0.0,0.0,0.945517,0.306386,0.0,99.0
17841,215.137439986165,52.9774181572172,215.137438185089,52.9774209432291,10.7627135409468,40.4248548424724,Y,1351.6689453125,844.323974609375,hst_12063_f8_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,4/7/2013 4:22:13 AM,4/7/2013 5:54:13 AM,56389.1821031272,56389.2459916621,15369.176,F160W,EGS-VF8,1473.68005371094,18.0252990722656,17.9265003204346,12063,1.12029847814076,0.454999983310699,0,15154750753262,-0.492405929098439,-0.346549600399189,0.79839825617275,394793516,76274460,4,6000300759808,1020473,Y,1.0,1293,110,1608034797845855744,215.137437725649,52.977434183348,0.899907176812177,-5.03153493599354,11.4088062008894,19.2947,20.4215,18.2603,0.0,0.0,0.945517,0.306386,0.0,99.0
17948,215.05165204381,52.9837763109853,215.051651861046,52.983775928226,1.43373815672338,13.9026319860633,Y,1038.02697753906,1665.08203125,hst_12063_f6_wfc3_ir_f160w,WFC3,MULTIACCUM,WFC3/IR,IR-FIX,1605.87,4/7/2011 7:13:38 PM,4/7/2011 7:41:26 PM,55658.8011379465,55658.8204431827,15369.176,F160W,EGS-VF6,395.888000488281,19.4524002075195,19.364200592041,12063,1.0279104780795,0.454999983310699,0,15154783772060,-0.492851726348334,-0.345761055923334,0.798465070027937,422004829,25244226,2,6000382874894,1013765,Y,1.0,1260,77,1608033522240048640,215.051651193341,52.9837731054929,0.228530321821959,-4.46694267572255,-3.64364970488312,19.2457,19.5979,18.755,0.0,0.0,0.959029,0.268758,0.0,99.0
